PsgcCode,DengueYear,DengueWeekNumber,DengueCaseCount,LagYear,LagWeekNumber,LagWeekStartDate,TemperatureMean,TemperatureMax,HumidityMean,HumidityMax,PrecipitationMean,PrecipitationMax,MostCommonWeatherCodeId,MostCommonWeatherDescription,OccurrenceCount,DominantWeatherCategory,IsWetWeek
0931700001,2014,1,0,2013,51,12-16-2013,26.87,27.40,86.14,88.00,8.49,17.50,63,"Rain, not freezing, continuous",3,Rain,TRUE
0931700001,2014,2,1,2013,52,12-23-2013,27.04,27.60,85.86,88.00,4.29,9.80,51,"Rain, not freezing, continuous",2,Rain,TRUE
0931700001,2014,3,0,2014,1,12-30-2013,27.14,27.80,85.00,89.00,4.66,9.70,61,"Rain, not freezing, continuous",4,Rain,TRUE
0931700001,2014,4,0,2014,2,01-06-2014,26.53,27.20,84.00,87.00,14.04,44.50,63,"Rain, not freezing, continuous",3,Rain,TRUE
0931700001,2014,5,1,2014,3,01-13-2014,25.97,26.50,81.29,87.00,8.36,27.20,53,"Rain, not freezing, continuous",2,Rain,TRUE
0931700001,2014,6,0,2014,4,01-20-2014,25.99,26.50,78.14,83.00,0.37,1.30,3,"Drizzle, not freezing, continuous",4,Drizzle,FALSE
0931700001,2014,7,0,2014,5,01-27-2014,26.16,26.60,74.57,78.00,0.57,1.90,3,"Drizzle, not freezing, continuous",4,Drizzle,FALSE
0931700001,2014,8,0,2014,6,02-03-2014,26.94,27.50,81.86,87.00,4.53,12.50,51,"Rain, not freezing, continuous",3,Rain,TRUE
0931700001,2014,9,0,2014,7,02-10-2014,26.27,26.90,84.00,89.00,15.36,54.10,63,"Rain, not freezing, continuous",3,Rain,TRUE
0931700001,2014,10,0,2014,8,02-17-2014,26.54,26.80,76.71,82.00,1.66,9.60,51,"Rain, not freezing, continuous",4,Rain,TRUE
0931700001,2014,11,0,2014,9,02-24-2014,27.11,27.60,76.86,81.00,0.66,3.50,3,"Drizzle, not freezing, continuous",3,Drizzle,FALSE
0931700001,2014,12,0,2014,10,03-03-2014,27.44,27.70,74.86,79.00,0.37,1.50,51,"Drizzle, not freezing, continuous",4,Drizzle,TRUE
0931700001,2014,13,0,2014,11,03-10-2014,27.49,28.20,79.57,83.00,3.37,9.50,51,"Rain, not freezing, continuous",2,Rain,TRUE
0931700001,2014,14,0,2014,12,03-17-2014,27.67,28.20,78.14,81.00,3.66,7.40,51,"Rain, not freezing, continuous",2,Rain,TRUE
0931700001,2014,15,0,2014,13,03-24-2014,27.31,27.90,84.43,86.00,5.89,14.30,53,"Rain, not freezing, continuous",3,Rain,TRUE
