DengueYear,DengueWeekNumber,DengueCaseCount,LagYear,LagWeekNumber,LagWeekStartDate,TemperatureMean,TemperatureMax,HumidityMean,HumidityMax,PrecipitationMean,PrecipitationMax,MostCommonWeatherCodeId,MostCommonWeatherDescription,OccurrenceCount,DominantWeatherCategory,IsWetWeek
2014,1,0,2013,51,12-16-2013,27.09,27.60,87.57,90.00,8.49,17.50,63,"Rain, not freezing, continuous",3,Rain,TRUE
2014,2,0,2013,52,12-23-2013,27.19,27.70,87.57,90.00,4.29,9.80,51,"Rain, not freezing, continuous",2,Rain,TRUE
2014,3,0,2014,1,12-30-2013,27.31,27.90,86.00,89.00,4.66,9.70,61,"Rain, not freezing, continuous",4,Rain,TRUE
2014,4,2,2014,2,01-06-2014,26.63,27.20,85.71,89.00,14.04,44.50,63,"Rain, not freezing, continuous",3,Rain,TRUE
2014,5,2,2014,3,01-13-2014,26.13,26.50,83.57,89.00,8.36,27.20,53,"Rain, not freezing, continuous",2,Rain,TRUE
2014,6,1,2014,4,01-20-2014,25.99,26.50,81.14,86.00,0.37,1.30,3,"Drizzle, not freezing, continuous",4,Drizzle,FALSE
2014,7,3,2014,5,01-27-2014,25.84,26.30,79.00,82.00,0.57,1.90,3,"Drizzle, not freezing, continuous",4,Drizzle,FALSE
2014,8,2,2014,6,02-03-2014,26.90,27.30,85.29,89.00,4.53,12.50,51,"Rain, not freezing, continuous",3,Rain,TRUE
2014,9,0,2014,7,02-10-2014,26.36,26.90,86.14,91.00,15.36,54.10,63,"Rain, not freezing, continuous",3,Rain,TRUE
2014,10,1,2014,8,02-17-2014,26.41,26.80,79.43,84.00,1.66,9.60,51,"Rain, not freezing, continuous",4,Rain,TRUE
2014,11,3,2014,9,02-24-2014,26.89,27.40,80.57,84.00,0.66,3.50,3,"Drizzle, not freezing, continuous",3,Drizzle,FALSE
2014,12,1,2014,10,03-03-2014,26.80,27.10,80.86,84.00,0.37,1.50,51,"Drizzle, not freezing, continuous",4,Drizzle,TRUE
2014,13,3,2014,11,03-10-2014,27.41,28.10,81.57,85.00,3.37,9.50,51,"Rain, not freezing, continuous",2,Rain,TRUE
2014,14,0,2014,12,03-17-2014,27.54,28.10,81.14,84.00,3.66,7.40,51,"Rain, not freezing, continuous",2,Rain,TRUE
2014,15,1,2014,13,03-24-2014,27.47,28.00,85.57,88.00,5.89,14.30,53,"Rain, not freezing, continuous",3,Rain,TRUE
2014,16,1,2014,14,03-31-2014,27.81,28.20,83.57,86.00,1.83,4.00,51,"Rain, not freezing, continuous",6,Rain,TRUE
2014,17,0,2014,15,04-07-2014,27.86,28.00,81.71,83.00,0.81,2.30,51,"Drizzle, not freezing, continuous",4,Drizzle,TRUE
2014,18,0,2014,16,04-14-2014,27.63,28.20,84.43,86.00,4.79,13.20,53,"Rain, not freezing, continuous",3,Rain,TRUE
2014,19,4,2014,17,04-21-2014,27.90,28.30,84.71,86.00,4.29,7.60,61,"Rain, not freezing, continuous",3,Rain,TRUE
2014,20,3,2014,18,04-28-2014,27.97,28.50,84.14,85.00,4.16,6.20,53,"Rain, not freezing, continuous",5,Rain,TRUE
2014,21,5,2014,19,05-05-2014,28.13,29.00,85.00,89.00,7.90,28.20,53,"Rain, not freezing, continuous",3,Rain,TRUE
2014,22,3,2014,20,05-12-2014,27.21,27.80,87.14,90.00,15.41,33.50,63,"Rain, not freezing, continuous",4,Rain,TRUE
2014,23,5,2014,21,05-19-2014,27.26,27.70,87.86,89.00,10.13,16.90,63,"Rain, not freezing, continuous",6,Rain,TRUE
2014,24,3,2014,22,05-26-2014,27.60,28.80,88.00,91.00,11.77,20.20,63,"Rain, not freezing, continuous",3,Rain,TRUE
2014,25,4,2014,23,06-02-2014,28.10,28.50,85.43,87.00,4.13,12.60,53,"Rain, not freezing, continuous",3,Rain,TRUE
2014,26,7,2014,24,06-09-2014,27.99,28.30,87.29,89.00,6.47,16.90,61,"Rain, not freezing, continuous",4,Rain,TRUE
2014,27,3,2014,25,06-16-2014,27.30,28.00,87.43,92.00,14.13,47.30,51,"Rain, not freezing, continuous",2,Rain,TRUE
2014,28,11,2014,26,06-23-2014,27.53,28.20,86.14,89.00,4.53,10.60,61,"Rain, not freezing, continuous",2,Rain,TRUE
2014,29,5,2014,27,06-30-2014,26.90,27.40,88.57,91.00,7.64,16.20,61,"Rain, not freezing, continuous",4,Rain,TRUE
2014,30,6,2014,28,07-07-2014,27.20,27.70,86.57,90.00,7.44,13.70,51,"Rain, not freezing, continuous",3,Rain,TRUE
2014,31,1,2014,29,07-14-2014,27.26,27.70,87.86,90.00,6.29,10.30,61,"Rain, not freezing, continuous",3,Rain,TRUE
2014,32,3,2014,30,07-21-2014,27.10,27.80,87.57,91.00,4.07,9.50,55,"Rain, not freezing, continuous",3,Rain,TRUE
2014,33,4,2014,31,07-28-2014,27.14,27.60,87.29,90.00,3.70,9.10,51,"Rain, not freezing, continuous",2,Rain,TRUE
2014,34,5,2014,32,08-04-2014,27.31,27.70,87.00,90.00,2.29,4.20,51,"Rain, not freezing, continuous",2,Rain,TRUE
2014,35,8,2014,33,08-11-2014,26.54,27.30,87.14,89.00,8.20,12.90,61,"Rain, not freezing, continuous",4,Rain,TRUE
2014,36,1,2014,34,08-18-2014,26.81,27.40,86.29,89.00,8.79,22.10,63,"Rain, not freezing, continuous",3,Rain,TRUE
2014,37,5,2014,35,08-25-2014,26.59,27.00,86.14,88.00,9.89,14.70,61,"Rain, not freezing, continuous",4,Rain,TRUE
2014,38,1,2014,36,09-01-2014,26.54,26.90,88.00,91.00,8.53,15.60,61,"Rain, not freezing, continuous",3,Rain,TRUE
2014,39,0,2014,37,09-08-2014,26.97,27.60,85.29,90.00,7.21,29.50,51,"Rain, not freezing, continuous",3,Rain,TRUE
2014,40,3,2014,38,09-15-2014,27.24,27.70,84.86,89.00,4.10,18.80,3,"Rain, not freezing, continuous",3,Rain,TRUE
2014,41,7,2014,39,09-22-2014,26.79,27.20,87.57,90.00,11.13,28.20,63,"Rain, not freezing, continuous",3,Rain,TRUE
2014,42,6,2014,40,09-29-2014,26.80,27.40,88.71,91.00,5.36,8.50,53,"Rain, not freezing, continuous",2,Rain,TRUE
2014,43,3,2014,41,10-06-2014,26.50,27.10,89.00,91.00,16.56,30.90,63,"Rain, not freezing, continuous",3,Rain,TRUE
2014,44,1,2014,42,10-13-2014,27.26,27.80,86.86,88.00,4.60,10.00,51,"Rain, not freezing, continuous",2,Rain,TRUE
2014,45,4,2014,43,10-20-2014,27.16,27.70,86.71,88.00,8.64,17.10,61,"Rain, not freezing, continuous",5,Rain,TRUE
2014,46,6,2014,44,10-27-2014,27.19,27.70,86.86,89.00,8.40,18.30,63,"Rain, not freezing, continuous",3,Rain,TRUE
2014,47,1,2014,45,11-03-2014,26.89,27.30,86.57,89.00,11.36,21.30,63,"Rain, not freezing, continuous",3,Rain,TRUE
2014,48,7,2014,46,11-10-2014,27.30,27.90,85.00,89.00,4.61,16.10,51,"Rain, not freezing, continuous",3,Rain,TRUE
2014,49,3,2014,47,11-17-2014,27.30,27.70,87.29,90.00,5.27,8.90,53,"Rain, not freezing, continuous",5,Rain,TRUE
2014,50,2,2014,48,11-24-2014,27.34,27.80,86.14,88.00,7.06,12.30,53,"Rain, not freezing, continuous",3,Rain,TRUE
2014,51,3,2014,49,12-01-2014,27.31,27.60,86.00,89.00,2.09,4.90,51,"Drizzle, not freezing, continuous",4,Drizzle,TRUE
2014,52,0,2014,50,12-08-2014,27.53,28.00,83.86,85.00,1.61,4.50,51,"Rain, not freezing, continuous",5,Rain,TRUE
2015,1,5,2014,51,12-15-2014,27.41,27.80,86.29,87.00,8.30,18.70,63,"Rain, not freezing, continuous",3,Rain,TRUE
2015,2,6,2014,52,12-22-2014,27.66,28.10,85.57,88.00,2.21,4.50,51,"Rain, not freezing, continuous",3,Rain,TRUE
2015,3,1,2015,1,12-29-2014,27.04,27.60,84.71,87.00,9.29,19.30,61,"Rain, not freezing, continuous",3,Rain,TRUE
2015,4,2,2015,2,01-05-2015,27.09,27.50,83.00,87.00,4.00,14.10,51,"Rain, not freezing, continuous",2,Rain,TRUE
2015,5,5,2015,3,01-12-2015,26.86,27.10,82.86,86.00,0.93,3.60,3,"Rain, not freezing, continuous",4,Rain,TRUE
2015,6,1,2015,4,01-19-2015,26.73,27.30,85.00,88.00,4.21,11.10,51,"Rain, not freezing, continuous",3,Rain,TRUE
2015,7,3,2015,5,01-26-2015,26.83,27.30,83.86,87.00,4.94,12.40,51,"Rain, not freezing, continuous",2,Rain,TRUE
2015,8,0,2015,6,02-02-2015,26.70,27.00,79.86,83.00,0.67,2.00,51,"Drizzle, not freezing, continuous",5,Drizzle,TRUE
2015,9,1,2015,7,02-09-2015,26.69,27.10,84.14,87.00,2.83,7.50,51,"Rain, not freezing, continuous",4,Rain,TRUE
2015,10,3,2015,8,02-16-2015,27.19,27.40,78.86,81.00,0.26,1.10,3,"Drizzle, not freezing, continuous",4,Drizzle,FALSE
2015,11,3,2015,9,02-23-2015,27.43,28.00,79.43,84.00,0.64,3.30,3,"Drizzle, not freezing, continuous",3,Drizzle,FALSE
2015,12,1,2015,10,03-02-2015,27.30,27.70,80.29,83.00,2.34,6.70,51,"Rain, not freezing, continuous",5,Rain,TRUE
2015,13,5,2015,11,03-09-2015,27.49,27.80,77.57,83.00,0.31,1.40,51,"Drizzle, not freezing, continuous",5,Drizzle,TRUE
2015,14,1,2015,12,03-16-2015,27.37,27.60,71.71,80.00,0.13,0.90,0,"Drizzle, not freezing, continuous",2,Drizzle,FALSE
2015,15,2,2015,13,03-23-2015,28.07,28.60,78.14,82.00,2.00,6.70,51,"Drizzle, not freezing, continuous",4,Drizzle,TRUE
2015,16,1,2015,14,03-30-2015,28.50,28.80,77.71,80.00,1.49,4.90,51,"Drizzle, not freezing, continuous",3,Drizzle,TRUE
2015,17,2,2015,15,04-06-2015,27.60,28.30,83.29,88.00,6.21,28.10,51,"Rain, not freezing, continuous",4,Rain,TRUE
2015,18,3,2015,16,04-13-2015,27.83,28.30,84.00,86.00,5.70,11.90,63,"Rain, not freezing, continuous",3,Rain,TRUE
2015,19,2,2015,17,04-20-2015,27.76,28.10,84.57,87.00,4.01,11.60,51,"Rain, not freezing, continuous",2,Rain,TRUE
